Team,Week,Day,Date,,,OT,,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Sack Yds,PY/A,NY/A,Cmp%,Rush Att,Rush Yds,RY/A,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,OPP Cmp,OPP Att,OPP P_Yds,OPP Int,OPP Sk,OPP SACK Yds,OPP PY/A,OPP NY/A,OPP Cmp%,OPP RUSH Att,OPP RYds,OPP RY/A,OPP Pnt,OPP PUNTYds,OPP3DConv,OPP_3DAtt,OPP 4DConv,OPP 4DAtt,TMWEEK,Spread 
DET,1,Sun,8-Sep,boxscore,T,OT,@,ARI,27,27,27,45,361,3,0,3,24,8.6,7.5,60,32,116,3.6,8,314,6,18,0,1,39.4,29,54,275,1,5,33,5.7,4.7,53.7,23,112,4.9,8,380,9,22,0,0,DET1,0
BALT,2,Sun,15-Sep,boxscore,W,,,ARI,23,17,24,37,258,2,0,2,14,7.4,6.6,64.9,33,182,5.5,3,129,7,14,0,1,37.6,25,40,329,0,3,20,8.7,7.7,62.5,11,20,1.8,5,267,2,11,1,1,BALT2,0
CAR,3,Sun,22-Sep,boxscore,W,,@,ARI,38,20,19,26,240,4,0,2,21,10,8.6,73.1,31,173,5.6,3,145,4,10,0,0,28.3,30,43,127,2,8,46,4,2.5,69.8,22,121,5.5,5,212,9,17,1,1,CAR3,0
SEA,4,Sun,29-Sep,boxscore,W,,@,ARI,27,10,22,28,225,1,0,4,15,8.6,7,78.6,27,115,4.3,4,171,4,10,0,0,33.4,22,32,206,1,4,35,7.5,5.7,68.8,23,115,5,3,141,3,9,0,0,SEA4,0
Cinci,5,Sun,6-Oct,boxscore,L,,,ARI,23,26,27,38,262,2,0,1,0,6.9,6.7,71.1,23,108,4.7,3,147,5,12,0,1,29,20,32,248,0,1,5,7.9,7.5,62.5,38,266,7,3,150,6,13,1,1,Cinci5,0
ATL,6,Sun,13-Oct,boxscore,L,,@,ARI,33,34,30,36,341,4,0,2,15,9.9,9,83.3,25,103,4.1,3,130,6,11,0,0,32.8,27,37,340,0,0,0,9.2,9.2,73,29,102,3.5,3,156,7,13,1,1,ATL6,0
NYG,7,Sun,20-Oct,boxscore,L,,,ARI,21,27,22,35,156,1,1,8,67,6.4,3.6,62.9,22,107,4.9,3,112,4,12,1,3,30,14,21,89,0,2,15,5,3.9,66.7,38,156,4.1,5,169,7,15,1,1,NYG7,0
NO,8,Sun,27-Oct,boxscore,W,,,ARI,31,9,34,43,373,3,1,0,0,8.7,8.7,79.1,29,137,4.7,2,88,7,12,0,0,38,19,34,197,0,4,23,6.5,5.2,55.9,11,40,3.6,5,238,2,12,0,2,NO8,0
SF,9,Thu,31-Oct,boxscore,W,,@,ARI,28,25,28,37,310,4,0,1,7,8.6,8.2,75.7,31,101,3.3,5,231,11,17,1,1,34.5,17,24,204,0,3,37,10,7.6,70.8,23,153,6.7,5,253,2,8,0,0,SF9,-10
TB,10,Sun,10-Nov,boxscore,W,,,ARI,30,27,30,48,339,1,2,4,19,7.5,6.5,62.5,26,118,4.5,3,142,7,15,0,0,36.1,28,45,342,1,2,8,7.8,7.3,62.2,18,75,4.2,3,158,1,10,2,3,TB10,-4.5
